1e-05	4.21	3.175830600016317	0.000842	0.0006351661200032635
2e-05	17.33	6.102548647901137	0.0034659999999999995	0.0012205097295802272	
3.0000000000000004e-05	37.8	7.8955683772607514	0.007559999999999999	0.0015791136754521502	
4e-05	66.18	11.63389874461696	0.013236000000000001	0.002326779748923392	
5e-05	104.59	15.90980515279807	0.020918	0.0031819610305596135	
6.000000000000001e-05	148.77	19.304328530150954	0.029754000000000003	0.0038608657060301907	
7.000000000000001e-05	195.12	22.60720239215812	0.039024	0.004521440478431624	
8e-05	250.26	24.001091641839963	0.050052	0.004800218328367993	
9e-05	318.69	30.295773632637278	0.063738	0.006059154726527456	
0.0001	376.48	27.902501679956945	0.075296	0.005580500335991389	
0.00011	456.13	31.183859607174988	0.091226	0.006236771921434998	
0.00012000000000000002	528.58	34.99347939259542	0.105716	0.006998695878519083	
0.00013000000000000002	604.82	37.339892876118434	0.12096400000000002	0.007467978575223687	
0.00014000000000000001	691.47	42.921196395254405	0.138294	0.00858423927905088	
0.00015000000000000001	772.86	43.693024614919935	0.15457200000000001	0.008738604922983987	
0.00016	869.46	44.08773525596431	0.17389200000000002	0.008817547051192863	
0.00017	953.43	42.90227383251381	0.190686	0.008580454766502762	
0.00018	1042.7	44.17227637330909	0.20854	0.008834455274661817	
0.00019	1142.04	49.48392062074306	0.228408	0.009896784124148612	
0.0002	1237.47	51.56305945151043	0.247494	0.010312611890302085	
0.00021	1337.7	54.96153200193751	0.26754	0.010992306400387503	
0.00022	1438.37	51.8992591469281	0.287674	0.01037985182938562	
0.00023	1529.41	65.29151476263974	0.30588200000000004	0.01305830295252795	
0.00024000000000000003	1633.42	58.74507298488954	0.32668400000000003	0.011749014596977908	
0.00025	1731.19	58.210599550253725	0.346238	0.011642119910050744	
0.00026000000000000003	1818.39	55.34616427540394	0.363678	0.01106923285508079	
0.00027	1928.84	58.416388111556515	0.385768	0.011683277622311302	
0.00028000000000000003	2029.53	69.63812964174154	0.405906	0.013927625928348309	
0.00029	2135.84	63.1163560418375	0.42716800000000005	0.0126232712083675	
0.00030000000000000003	2218.61	69.8256249524485	0.443722	0.013965124990489701	
0.00031	2304.39	69.80413956206324	0.46087799999999995	0.01396082791241265	
0.00032	2418.2	62.129863994700656	0.48363999999999996	0.012425972798940131	
0.00033000000000000005	2503.99	74.12145370943556	0.500798	0.014824290741887111	
0.00034	2595.52	59.834184209363144	0.519104	0.011966836841872629	
0.00035000000000000005	2684.85	67.94768207967068	0.53697	0.013589536415934135	
0.00036	2778.3	74.80207216381109	0.55566	0.014960414432762217	
0.00037000000000000005	2863.49	70.93891668188905	0.5726979999999999	0.01418778333637781	
0.00038	2950.44	71.15789766427898	0.5900880000000001	0.014231579532855797	
0.00039000000000000005	3034.07	79.88507432555846	0.6068140000000001	0.015977014865111695	
0.0004	3119.6	65.79300874713057	0.62392	0.013158601749426114	
0.00041000000000000005	3203.81	81.87181383113482	0.6407619999999999	0.016374362766226964	
0.00042	3284.87	65.70489403385415	0.656974	0.01314097880677083	
0.00043000000000000004	3367.3	68.77128761336375	0.6734600000000001	0.013754257522672751	
0.00044	3440.74	77.01436489383003	0.688148	0.015402872978766007	
0.00045000000000000004	3521.05	79.65530428038049	0.70421	0.015931060856076096	
0.00046	3600.79	72.19436196823128	0.720158	0.014438872393646255	
0.00047000000000000004	3672.96	74.89671821915832	0.734592	0.014979343643831664	
0.00048000000000000007	3732.58	80.5503792666428	0.746516	0.016110075853328562	
0.0004900000000000001	3803.87	78.7396539235473	0.760774	0.015747930784709457	
0.0005	3877.81	77.24748474869587	0.775562	0.015449496949739175	
0.00051	3942.78	80.97574698636623	0.788556	0.016195149397273245	
0.0005200000000000001	4015.93	75.13684249421185	0.803186	0.01502736849884237	
0.0005300000000000001	4101.47	75.2885721740026	0.8202940000000001	0.015057714434800518	
0.00054	4148.16	83.73383067792848	0.8296319999999999	0.016746766135585695	
0.00055	4221.31	76.29845280213746	0.8442620000000001	0.015259690560427492	
0.0005600000000000001	4276.96	80.51210095383179	0.855392	0.016102420190766357	
0.0005700000000000001	4329.66	77.39279294611354	0.8659319999999999	0.01547855858922271	
0.00058	4392.23	93.24814797088465	0.878446	0.01864962959417693	
0.00059	4453.1	82.23290095819313	0.8906200000000001	0.016446580191638624	
0.0006000000000000001	4503.2	89.92452390755261	0.90064	0.017984904781510522	
0.0006100000000000001	4563.68	73.91209373302856	0.9127360000000001	0.014782418746605713	
0.00062	4615.79	83.8590835866932	0.923158	0.016771816717338642	
0.00063	4668	77.12107364397879	0.9336	0.015424214728795758	
0.00064	4726.13	74.57166418955661	0.945226	0.014914332837911324	
0.0006500000000000001	4776.67	86.83364037053845	0.955334	0.01736672807410769	
0.0006600000000000001	4823.92	88.11908760308403	0.964784	0.017623817520616803	
0.00067	4884.07	87.66849548155825	0.976814	0.01753369909631165	
0.00068	4914.35	78.69439306583412	0.98287	0.015738878613166824	
0.0006900000000000001	4987.97	77.66588118343857	0.9975940000000001	0.015533176236687716	
0.0007000000000000001	5023.18	80.19044581494731	1.004636	0.01603808916298946	
0.00071	5057.52	83.65183560448628	1.0115040000000002	0.016730367120897257	
0.00072	5109.99	88.73629415295636	1.021998	0.01774725883059127	
0.0007300000000000001	5142.61	73.70059633408674	1.028522	0.014740119266817347	
0.0007400000000000001	5184.3	86.57303275269962	1.0368600000000001	0.017314606550539926	
0.00075	5240.97	73.75695967161337	1.048194	0.014751391934322674	
0.00076	5272.15	85.12524596146551	1.05443	0.017025049192293102	
